"Index","gdp","canada_gdp","mexico_gdp"
2002-02-01,3213.34521901075,342013.208304339,2539.63245175427
2002-03-01,3218.34224288334,342589.912749274,2546.56721024875
2002-04-01,3223.675,343288.5,2555.775
2002-05-01,3229.59118241766,344221.701063778,2563.74649293938
2002-06-01,3235.4018502409,345330.472654253,2570.2883750849
2002-07-01,3239.175,346345.2,2574.758
2002-08-01,3240.20051783427,347182.333972661,2577.40471331783
2002-09-01,3239.96650075136,347872.022721148,2578.7190855549
2002-10-01,3240.725,348513.8,2579.527
2002-11-01,3244.23952920685,349219.321213379,2580.6252908839
2002-12-01,3249.8955817688,349823.872904656,2582.32505962457
2003-01-01,3257.15,350196.2,2585.055
2003-02-01,3265.32369004039,350210.613184468,2588.75712669734
2003-03-01,3274.45197703325,350070.839463458,2591.81045880207
2003-04-01,3287.95,349987.8,2593.301
2003-05-01,3305.15394595186,350173.439826149,2592.07646399543
2003-06-01,3325.03682864888,350659.343924925,2590.53987798481
2003-07-01,3343.5,351386,2591.988
2003-08-01,3359.4109246138,352349.23628606,2598.91845802074
2003-09-01,3371.99433899677,353382.821525249,2610.08557647757
2003-10-01,3381.425,354290.5,2622.85
2003-11-01,3388.91448156946,355033.7437649,2636.34613986712
2003-12-01,3395.08687015037,355715.090070702,2649.65875095612
2004-01-01,3401.65,356599.5,2664.035
2004-02-01,3409.44591720801,357829.46669084,2678.83748655669
2004-03-01,3417.83166409636,359224.224351077,2690.8874553213
2004-04-01,3427.675,360843.8,2698.962
2004-05-01,3437.74153773007,362412.679424217,2700.60154802412
2004-06-01,3448.17454467066,363919.616061464,2700.22139475221
2004-07-01,3457.75,365160.5,2703.406
2004-08-01,3466.86306776114,366139.064477744,2714.34782721619
2004-09-01,3476.25304638037,366858.299848968,2729.85852445702
2004-10-01,3486.925,367384,2744.508
2004-11-01,3500.27468731932,367831.02076392,2755.31786602581
2004-12-01,3513.55830110808,368249.431305795,2761.20732693347
2005-01-01,3525.05,368750.2,2763.033
2005-02-01,3532.57400662397,369405.806483827,2761.55737862735
2005-03-01,3537.68499659405,370205.640418927,2760.08488519578
2005-04-01,3544.3,371404.5,2761.817
